Status,Translator,Message,Translation
To validate,Barungar,Frequency Supply,Frequenzversorgung
To validate,Barungar,Grace Delay to Shutdown (sec),Gnadenfrist beim Herunterfahren (Sek.)
To validate,Barungar,Grace Time,Gnadenfrist
Valid,Gawindx,Help,Hilfe
To validate,Barungar,Hibernate,Tiefschlaf
To validate,Barungar,Hide ChangeLog,Änderungsprotokoll ausblenden
Valid,Gawindx,Immediate Shutdown,Sofortiges Herunterfahren
Valid,Gawindx,Immediate stop action,Sofortige Stoppaktion
Valid,Gawindx,Import Ini File (v1.x),Ini-Datei importieren (v1.x)
To validate,Barungar,Indicates whether a shutdown should be performed when the NUT server signals a forced shutdown (FSD = Force ShutDown),Gibt an, ob ein Herunterfahren ausgeführt werden soll, falls der NUT-Server ein erzwungenes Herunterfahren signalisiert (FSD = Force ShutDown).
Valid,Gawindx,Input Frequency,Eingangsfrequenz
Valid,Gawindx,Input Voltage,Eingangsspannung
Valid,Gawindx,Item Properties,Eigenschaften
To validate,Barungar,List UPS Variables,Liste der USV-Variablen
To validate,Barungar,Log file log level,Protokollstufe der Protokolldatei
Valid,Gawindx,Logging level,Protokollierungsstufe
Valid,Gawindx,Logging level.,Protokollierungsstufe.
To validate,Barungar,Login,Benutzername
To validate,Barungar,Login credentials to the Nut server (leave blank if not required),Anmeldedaten beim NUT-Server (leer lassen falls nicht erforderlich)
To validate,Barungar,Lost Connect To {0}:{1},Verbindung zu {0}:{1} verloren
To validate,Barungar,Low Battery,Niedriger Batteriestand
To validate,Barungar,Lower backup time limit triggering the shutdown procedure. Accepted value: Numeric value from 0 to 3600.,Untergrenze der Restlaufzeit, die den Abschaltvorgang auslöst. Akzeptierter Wert: Numerischer Wert von 0 bis 3600.
To validate,Barungar,Lower limit of the battery level triggering the shutdown procedure. Accepted value: Numeric value from 0 to 100.,Untergrenze des Batteriestands, der den Abschaltvorgang auslöst. Akzeptierter Wert: Numerischer Wert von 0 bis 100.
Valid,Gawindx,Manufacturer :,Hersteller:
Valid,Gawindx,Max,Max
To validate,Barungar,Max Retry reached. Wait for manual Reconnection,Maximale Versuche erreicht. Warte auf manuelle Neuverbindung
Valid,Gawindx,Maximum Battery Voltage. Accepted value: Numeric value from 0 to 100.,Maximale Batteriespannung. Akzeptierter Wert: Numerischer Wert von 0 bis 100.
Valid,Gawindx,Maximum input frequency. Accepted value: Numeric value from 0 to 100.,Maximale Eingangsfrequenz. Akzeptierter Wert: Numerischer Wert von 0 bis 100.
Valid,Gawindx,Maximum input voltage. Accepted value: Numeric value from 0 to 999.,Maximale Eingangsspannung. Akzeptierter Wert: Numerischer Wert von 0 bis 999.
To validate,Barungar,Maximum Load Level of the UPS. Accepted value: Numeric value from 0 to 100.,Maximale Ausgangslast. Akzeptierter Wert: Numerischer Wert von 0 bis 100.
Valid,Gawindx,Maximum Output Voltage. Accepted value: Numeric value from 0 to 999.,Maximale Ausgangsspannung. Akzeptierter Wert: Numerischer Wert von 0 bis 999.
Valid,Gawindx,Min,Min
To validate,Barungar,Minimize to Systray,Auf den Benachrichtigungsbereich minimieren
Valid,Gawindx,Minimum Battery Voltage. Accepted value: Numeric value from 0 to 100.,Minimale Batteriespannung. Akzeptierter Wert: Numerischer Wert von 0 bis 100.
To validate,Barungar,Minimum Charge Level of the UPS. Accepted value: Numeric value from 0 to 100.,Minimale Ausgangslast. Akzeptierter Wert: Numerischer Wert von 0 bis 100.
Valid,Gawindx,Minimum input frequency. Accepted value: Numeric value from 0 to 100.,Minimale Eingangsfrequenz. Akzeptierter Wert: Numerischer Wert von 0 bis 100.
Valid,Gawindx,Minimum input voltage. Accepted value: Numeric value from 0 to 999.,Minimale Eingangsspannung. Akzeptierter Wert: Numerischer Wert von 0 bis 999.
Valid,Gawindx,Minimum Output Voltage. Accepted value: Numeric value from 0 to 999.,Minimale Ausgangsspannung. Akzeptierter Wert: Numerischer Wert von 0 bis 999.
Valid,Gawindx,Miscellanous,Verschiedenes
To validate,Barungar,Monthly,monatlich
To validate,Barungar,Name :,Name:
Valid,Gawindx,No Update Available,Kein Update verfügbar
Valid,Gawindx,Not Connected,Nicht verbunden
To validate,Barungar,Notice,Hinweis
To validate,Barungar,NUT host,NUT-Host
To validate,Barungar,NUT Port,NUT-Port
To validate,Barungar,Nut server address. Accepted value: IPV4 / IPV6 / FQDN address.,NUT-Serveradresse. Akzeptierter Wert: IPv4-, IPv6- oder FQDN-Adresse.
Valid,Gawindx,NUT server connection identifier,Verbindungskennung des NUT-Servers
To validate,Barungar,NUT server login password,Anmeldepasswort des NUT-Servers
To validate,Barungar,Nut Server Port Number (default = 3493). Accepted value: Numeric value from 1 to 65535.,Port des NUT-Servers (Standard = 3493). Akzeptierter Wert: Numerischer Wert von 1 bis 65535.
Valid,Gawindx,Ok,OK
Valid,Gawindx,Old ups.ini imported,Alte ups.ini importiert
Valid,Gawindx,Old ups.ini imported Ini File Moved to {0}.old,Alte ups.ini importiert Ini-Datei nach {0}.old verschoben
To validate,Barungar,On Battery ({0}%),Auf Batterie ({0}%)
Valid,Gawindx,On Line,Online
To validate,Barungar,Open the log file.,Protokolldatei öffnen.
Valid,Gawindx,Options,Optionen
Valid,Gawindx,Output Voltage,Ausgangsspannung
Valid,Gawindx,Password,Passwort
Valid,Gawindx,Polling Interval,Abrufintervall
To validate,Barungar,Reconnect,Neuverbinden
Valid,Gawindx,Reconnection In Progress,Neuverbindung läuft
To validate,Barungar,Reduced to the taskbar or Systray.,Auf den Benachrichtigungsbereich minimieren.
To validate,Barungar,Re-establish connection,Verbindung wiederherstellen
Valid,Gawindx,Reload,Neu laden
To validate,Barungar,Remaining Time :,Verbleibende Zeit:
Valid,Gawindx,Restarting WinNUT after waking up from Windows.,Neustart von WinNUT nach dem Aufwachen von Windows.
To validate,Barungar,Sends in Systray at closing.,Beim Schließen in den Benachrichtigungsbereich senden.
Valid,Gawindx,Serial :,Seriennummer:
Valid,Gawindx,Sets the input frequency if not supplied by the UPS.,Legt die Eingangsfrequenz fest falls diese nicht von der USV geliefert wird.
To validate,Barungar,Settings,Einstellungen
To validate,Barungar,Show ChangeLog,Änderungsprotokoll anzeigen
To validate,Barungar,Shutdown,Herunterfahren
To validate,Barungar,Shutdown if battery lower than,Herunterfahren, wenn die Batterieladung niedriger ist als
To validate,Barungar,Shutdown if runtime lower than (sec),Herunterfahren, wenn die Restlaufzeit niedriger ist als (Sek.)
To validate,Barungar,Shutdown on NUT's FSD Signal,Herunterfahren bei FSD-Signal der NUT
Valid,Gawindx,Shutdown Options,Optionen zum Herunterfahren
Valid,Gawindx,Sleep,Schlaf
Valid,Gawindx,Stable,Stabil
Valid,Gawindx,Stable Or Dev Branch,Stabiler oder Entwicklungszweig
Valid,Gawindx,Start Minimized,Minimiert starten
To validate,Barungar,Start with Windows,Mit Windows starten
Valid,Gawindx,Starts the shutdown procedure immediately or timed.,Startet das Herunterfahren sofort oder zeitgesteuert.
To validate,Barungar,Starts WinNut Minimized.,Startet WinNUT minimiert.
Valid,Gawindx,Starts WinNUT when Windows starts.,Startet WinNUT beim Start von Windows.
Valid,Gawindx,Stop condition imposed by the NUT server,Vom NUT-Server auferlegte Stoppbedingung
To validate,Barungar,Stop procedure delay if delayed. Accepted value: Numeric value from 0 to 3600.,Verzögerung des Stoppvorgangs, falls sie verzögert ist. Akzeptierter Wert: Numerischer Wert von 0 bis 3600.
Valid,Gawindx,Time between each update of UPS data (default = 5).Accepted value: Numerical value from 1 to 60 seconds.,Zeit zwischen jeder Aktualisierung der USV-Daten (Standard = 5).Akzeptierter Wert: Numerischer Wert von 1 bis 60 Sekunden.
To validate,Barungar,Try {0} of {1},Versuch {0} von {1}
To validate,Barungar,Try Reconnect {0} / {1},Neuverbindungsversuch {0} / {1}
Valid,Gawindx,Type of Stop,Art des Stopps
To validate,Barungar,Type of stop at the end of the stop procedure.,Systemzustand am Ende des Stoppvorgangs.
Valid,Gawindx,Unknown UPS Name,Unbekannter USV-Name
Valid,Gawindx,Update,Aktualisieren
Valid,Gawindx,Update Available : Version {0},Update verfügbar : Version {0}
To validate,Barungar,Update WinNUT-Client Now? Ok to Close WinNut and Install New Version Cancel to Save Msi and Install Later,WinNUT-Client jetzt aktualisieren? OK, um WinNut zu schließen und neue die Version zu installieren Abbrechen, um die MSI zu speichern und später zu installieren
Valid,Gawindx,UPS Battery Low,USV-Batterie schwach
To validate,Barungar,UPS Load,Ausgangslast
To validate,Barungar,UPS Name,USV-Name
To validate,Barungar,UPS name to monitor. Accepted Value: Name of the UPS configured in the Nut server.,Name der zu überwachenden USV. Akzeptierter Wert: Name der auf dem NUT-Server konfigurierten USV.
Valid,Gawindx,UPS On Battery,USV im Akkubetrieb
To validate,Barungar,UPS On Line,USV im Netzbetrieb
To validate,Barungar,UPS Overload,USV-Überlast
To validate,Barungar,UPS Variable,USV-Variablen
To validate,Barungar,Use the Stable or Devellop branch during verification.,Verwendet den "Stabil" oder "Entwicklung"-Zweig bei der Suche nach Updates.
To validate,Barungar,Value :,Wert:
To validate,Barungar,Verify Update,Selbstständig nach Updates suchen
To validate,Barungar,Verify Update At Start,Beim Start nach Updates suchen
To validate,Barungar,Version {0} Available,Version {0} verfügbar
To validate,Barungar,Weekly,wöchentlich
To validate,Barungar,WinNut Preferences Changed,WinNUT-Einstellungen geändert
Valid,Gawindx,Windows standby. WinNUT will disconnect.,Windows Standby. WinNUT wird getrennt.
Valid,Gawindx,Wrong Login ID (Username or Password),Falsche Login-ID (Benutzername oder Passwort)
