Status,Translator,Message,Translation
To validate,BuhoSolitario,Nut server address. Accepted value: IPV4 / IPV6 / FQDN address.,Dirección del servidor Nut. Valores aceptados: IPV4 / IPV6 / Direcciones FQDN.
To validate,BuhoSolitario,Nut Server Port Number (default = 3493). Accepted value: Numeric value from 1 to 65535.,Número de puerto del servidor Nut (por defecto = 3493). Valor aceptado: Número entre 1 y 65535.
To validate,BuhoSolitario,Ok,Ok
To validate,BuhoSolitario,Old ups.ini imported,Importado ups.ini obsoleto
To validate,BuhoSolitario,Old ups.ini imported Ini File Moved to {0}.old,Importado ups.ini Archivo ini obsoleto movido a {0}.old
To validate,BuhoSolitario,On Battery ({0}%),En batería ({0}%)
To validate,BuhoSolitario,On Line,En red eléctrica
To validate,BuhoSolitario,Open the log file.,Abrir el archivo de registro
To validate,BuhoSolitario,Options,Opciones
To validate,BuhoSolitario,Output Voltage,Voltaje de salida
To validate,BuhoSolitario,Password,Contraseña
To validate,BuhoSolitario,Polling Interval,Intervalo de actualización
To validate,BuhoSolitario,Reconnect,Reconectar
To validate,BuhoSolitario,Reconnection In Progress,Reconexión en progreso
To validate,BuhoSolitario,Reduced to the taskbar or Systray.,Minimizado a la barra de tareas o bandeja del sistema.
To validate,BuhoSolitario,Re-establish connection,Restablecer conexión
To validate,BuhoSolitario,Reload,Recaragar
To validate,BuhoSolitario,Remaining Time :,Tiempo restante :
To validate,BuhoSolitario,Restarting WinNUT after waking up from Windows.,Reiniciando WinNUT tras iniciar Windows.
To validate,BuhoSolitario,Sends in Systray at closing.,Envia a la bandeja del sistema al cerrar.
To validate,BuhoSolitario,Serial :,Serial :
To validate,BuhoSolitario,Sets the input frequency if not supplied by the UPS.,Asigna la frecuencia de entrada si no se suministra.
To validate,BuhoSolitario,Settings,Configuración
To validate,BuhoSolitario,Show ChangeLog,Mostrar registro de cambios
To validate,BuhoSolitario,Shutdown,Apagado
To validate,BuhoSolitario,Shutdown if battery lower than,Apagar si el nivel batería es menor de
To validate,BuhoSolitario,Shutdown if runtime lower than (sec),Apagar si el nivel batería es menor de (seg)
To validate,BuhoSolitario,Shutdown on Nut's FSD Signal,Apagar si SAI envía señal de apagado
To validate,BuhoSolitario,Shutdown Options,Opciones de apagado
To validate,BuhoSolitario,Sleep,Suspender
To validate,BuhoSolitario,Stable,Estable
To validate,BuhoSolitario,Stable Or Dev Branch,Estable o rama de Desarrollo
To validate,BuhoSolitario,Start Minimized,Iniciar minimizado
To validate,BuhoSolitario,Start with Windows,Iniciar con Windows
To validate,BuhoSolitario,Starts the shutdown procedure immediately or timed.,Iniciar el procedimiento de apagado inmediatamente o al tiempo.
To validate,BuhoSolitario,Starts WinNut Minimized.,Inicia WinNUT minimizado.
To validate,BuhoSolitario,Starts WinNUT when Windows starts.,Inicia WinNUT cuando arranca Windows.
To validate,BuhoSolitario,Stop condition imposed by the NUT server,Condición de parada impuesta por el servidor NUT
To validate,BuhoSolitario,Stop procedure delay if delayed. Accepted value: Numeric value from 0 to 3600.,Tiempo de detención del proceso si se retrasa. Valor aceptado: Número entre 0 y 3600.
To validate,BuhoSolitario,Time between each update of UPS data (default = 5).Accepted value: Numerical value from 1 to 60 seconds.,Tiempo entre cada actualización de datos del SAI (por defecto = 5). Valor aceptado: Número entre 1 y 60 segundos.
To validate,BuhoSolitario,Try {0} of {1}, Intento {0} de {1}
To validate,BuhoSolitario,Try Reconnect {0} / {1},Intentando reconectar {0} / {1}
To validate,BuhoSolitario,Type of Stop,Tipo de parada
To validate,BuhoSolitario,Type of stop at the end of the stop procedure.,Tipo de parada al final del procedimiento de parada.
To validate,BuhoSolitario,Unknown UPS Name,Nombre del SAI desconocido
To validate,BuhoSolitario,Update,Actualizar
To validate,BuhoSolitario,Update Available : Version {0},Actualización disponible : Versión {0}
To validate,BuhoSolitario,Update WinNUT-Client Now? Ok to Close WinNut and Install New Version Cancel to Save Msi and Install Later,¿Actualizar WinNUT-Client ahora mismo? Ok para Cerrar WinNut e instalar la Nueva Versión Cancelar para Guardar el Msi e instalarlo más tarde
To validate,BuhoSolitario,UPS Battery Low,Batería baja en el SAI
To validate,BuhoSolitario,UPS Load,Carga del SAI
To validate,BuhoSolitario,UPS Name,Nombre del SAI
To validate,BuhoSolitario,UPS name to monitor. Accepted Value: Name of the UPS configured in the Nut server.,Nombre del SAI a monitorizar. Valor aceptado: Nombre del SAI configurado en el servidor Nut.
To validate,BuhoSolitario,UPS On Battery,SAI en batería
To validate,BuhoSolitario,UPS On Line,SAI en red eléctrica
To validate,BuhoSolitario,UPS Overload,Sobrecarga del SAI
To validate,BuhoSolitario,UPS Variable,Variable del SAI
To validate,BuhoSolitario,Use the Stable or Devellop branch during verification.,Usa la rama estable o de desarrollo en la búsqueda de actualización.
To validate,BuhoSolitario,Value :,Valor :
To validate,BuhoSolitario,Verify Update,Buscar actualizaciones
To validate,BuhoSolitario,Verify Update At Start,Buscar actualizaciones al iniciar
To validate,BuhoSolitario,Version {0} Available,Versión {0} disponible
To validate,BuhoSolitario,Weekly,Semanalmente
To validate,BuhoSolitario,WinNut Preferences Changed,Configuración de WinNUT cambiada
To validate,BuhoSolitario,Windows standby. WinNUT will disconnect.,Suspensión de Windows. WinNUT se desconectará.
To validate,BuhoSolitario,Wrong Login ID (Username or Password),ID de inicio de sesión (Usuario o Contraseña)
